"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2018","1,249.41","1,253.78","1,256.68","1,245.77","-","0.19%"
"Mar 29, 2018","1,246.98","1,228.91","1,248.11","1,228.91","-","1.64%"
"Mar 28, 2018","1,226.80","1,237.98","1,237.98","1,222.47","-","-1.38%"
"Mar 27, 2018","1,243.99","1,238.82","1,251.08","1,235.74","-","1.06%"
"Mar 26, 2018","1,230.96","1,256.89","1,262.86","1,229.42","-","-2.42%"
"Mar 23, 2018","1,261.44","1,250.51","1,262.08","1,245.24","-","0.20%"
"Mar 22, 2018","1,258.89","1,280.14","1,283.10","1,255.50","-","-0.88%"
"Mar 21, 2018","1,270.08","1,255.84","1,271.73","1,254.94","-","1.12%"
"Mar 20, 2018","1,256.00","1,242.79","1,256.77","1,234.23","-","1.19%"
"Mar 19, 2018","1,241.28","1,259.71","1,261.13","1,241.28","-","-1.04%"
"Mar 16, 2018","1,254.29","1,246.50","1,254.29","1,235.20","-","0.56%"
"Mar 15, 2018","1,247.28","1,254.33","1,261.95","1,243.12","-","-0.31%"
"Mar 14, 2018","1,251.19","1,279.60","1,280.00","1,251.19","-","-2.69%"
"Mar 13, 2018","1,285.80","1,282.12","1,289.27","1,273.38","-","0.20%"
"Mar 12, 2018","1,283.18","1,288.38","1,293.80","1,278.96","-","-0.18%"
"Mar 09, 2018","1,285.53","1,270.45","1,285.53","1,262.96","-","1.21%"
"Mar 07, 2018","1,270.17","1,278.30","1,278.30","1,255.27","-","-0.88%"
"Mar 06, 2018","1,281.43","1,291.30","1,297.30","1,281.43","-","0.15%"
"Mar 05, 2018","1,279.51","1,270.91","1,279.58","1,267.26","-","1.42%"
"Mar 02, 2018","1,261.63","1,272.45","1,279.64","1,248.07","-","-0.98%"
"Mar 01, 2018","1,274.18","1,278.68","1,283.30","1,266.51","-","-0.88%"
"Feb 28, 2018","1,285.47","1,308.81","1,308.81","1,285.47","-","-1.94%"
"Feb 27, 2018","1,310.84","1,332.58","1,332.78","1,310.84","-","-1.04%"
"Feb 26, 2018","1,324.62","1,312.03","1,339.41","1,311.29","-","1.81%"
"Feb 22, 2018","1,301.01","1,285.67","1,301.01","1,279.77","-","0.76%"
"Feb 21, 2018","1,291.19","1,263.31","1,291.19","1,260.51","-","2.10%"
"Feb 20, 2018","1,264.68","1,258.51","1,266.10","1,254.84","-","0.45%"
"Feb 19, 2018","1,259.01","1,259.93","1,267.32","1,255.87","-","-0.34%"
"Feb 16, 2018","1,263.27","1,265.90","1,276.31","1,255.05","-","0.08%"
"Feb 15, 2018","1,262.27","1,259.77","1,271.46","1,259.38","-","1.40%"
"Feb 14, 2018","1,244.85","1,231.54","1,244.85","1,218.30","-","1.46%"
"Feb 13, 2018","1,226.92","1,212.44","1,226.92","1,210.60","-","1.72%"
"Feb 12, 2018","1,206.22","1,191.86","1,212.51","1,191.86","-","1.72%"
"Feb 09, 2018","1,185.79","1,191.56","1,199.25","1,177.54","-","-2.06%"
"Feb 08, 2018","1,210.69","1,229.76","1,231.93","1,210.69","-","-2.56%"
"Feb 07, 2018","1,242.53","1,245.10","1,257.71","1,239.07","-","0.80%"
"Feb 06, 2018","1,232.69","1,229.83","1,247.51","1,220.94","-","-2.46%"
"Feb 05, 2018","1,263.77","1,266.03","1,269.43","1,254.93","-","-0.71%"
"Feb 02, 2018","1,272.76","1,297.49","1,298.25","1,269.58","-","-1.57%"
"Feb 01, 2018","1,293.10","1,284.70","1,297.51","1,279.60","-","0.84%"
"Jan 31, 2018","1,282.36","1,273.24","1,284.58","1,269.26","-","0.58%"
"Jan 30, 2018","1,274.94","1,273.31","1,292.04","1,266.48","-","-0.05%"
"Jan 29, 2018","1,275.57","1,285.32","1,290.58","1,272.79","-","-0.87%"
"Jan 26, 2018","1,286.70","1,305.25","1,307.03","1,281.37","-","-1.87%"
"Jan 25, 2018","1,311.21","1,296.23","1,313.44","1,296.23","-","1.46%"
"Jan 24, 2018","1,292.32","1,284.39","1,292.32","1,273.95","-","0.67%"
"Jan 23, 2018","1,283.75","1,289.03","1,294.20","1,270.18","-","-0.12%"
"Jan 22, 2018","1,285.33","1,269.72","1,285.33","1,269.72","-","1.13%"
"Jan 19, 2018","1,270.92","1,280.91","1,283.96","1,265.53","-","-0.65%"
"Jan 18, 2018","1,279.28","1,265.26","1,282.09","1,264.37","-","1.15%"
"Jan 17, 2018","1,264.70","1,254.23","1,264.70","1,241.19","-","0.29%"
"Jan 16, 2018","1,261.09","1,264.95","1,266.44","1,245.35","-","-0.25%"
"Jan 15, 2018","1,264.30","1,261.35","1,273.07","1,259.66","-","0.26%"
"Jan 12, 2018","1,261.07","1,253.70","1,261.07","1,242.63","-","0.99%"
"Jan 11, 2018","1,248.75","1,233.17","1,248.75","1,227.05","-","1.14%"
"Jan 10, 2018","1,234.64","1,231.13","1,236.53","1,225.14","-","0.45%"
"Jan 09, 2018","1,229.15","1,222.38","1,238.26","1,222.38","-","0.76%"
"Jan 05, 2018","1,219.89","1,216.67","1,219.89","1,208.42","-","0.47%"
"Jan 04, 2018","1,214.17","1,185.05","1,214.17","1,185.05","-","2.63%"
"Jan 03, 2018","1,183.06","1,154.44","1,183.06","1,154.44","-","2.48%"
"Dec 29, 2017","1,154.43","1,151.75","1,154.43","1,142.11","-","0.33%"
"Dec 28, 2017","1,150.58","1,148.94","1,151.29","1,143.33","-","0.14%"
"Dec 27, 2017","1,148.92","1,147.57","1,152.09","1,145.46","-","0.34%"
"Dec 26, 2017","1,144.97","1,144.24","1,147.27","1,137.88","-","0.09%"
"Dec 25, 2017","1,143.94","1,138.43","1,145.62","1,138.30","-","0.73%"
"Dec 22, 2017","1,135.70","1,129.20","1,139.10","1,128.90","-","0.77%"
"Dec 21, 2017","1,126.97","1,127.59","1,131.13","1,121.56","-","-0.21%"
"Dec 20, 2017","1,129.33","1,134.67","1,137.00","1,128.48","-","-0.46%"
"Dec 19, 2017","1,134.58","1,145.92","1,149.60","1,134.58","-","-1.16%"
"Dec 18, 2017","1,147.91","1,149.13","1,157.43","1,139.84","-","-0.03%"
"Dec 15, 2017","1,148.27","1,153.39","1,153.39","1,142.28","-","-0.44%"
"Dec 14, 2017","1,153.32","1,146.04","1,153.32","1,143.65","-","1.04%"
"Dec 13, 2017","1,141.50","1,143.50","1,149.46","1,137.91","-","-0.73%"
"Dec 12, 2017","1,149.88","1,149.04","1,155.03","1,145.27","-","0.48%"
"Dec 11, 2017","1,144.35","1,120.62","1,144.35","1,120.62","-","2.22%"
"Dec 08, 2017","1,119.54","1,121.13","1,126.64","1,114.91","-","0.00%"
"Dec 07, 2017","1,119.51","1,128.20","1,128.20","1,117.27","-","-1.05%"
"Dec 06, 2017","1,131.38","1,132.08","1,133.01","1,123.40","-","-0.25%"
"Dec 05, 2017","1,134.25","1,134.55","1,135.10","1,128.54","-","0.03%"
"Dec 04, 2017","1,133.87","1,125.86","1,136.45","1,113.04","-","0.05%"
"Dec 01, 2017","1,133.33","1,133.41","1,135.25","1,124.48","-","0.16%"
"Nov 30, 2017","1,131.56","1,140.42","1,143.83","1,126.53","-","-1.15%"
"Nov 29, 2017","1,144.68","1,159.59","1,161.84","1,141.64","-","-1.27%"
"Nov 28, 2017","1,159.41","1,155.11","1,160.65","1,148.07","-","-0.10%"
"Nov 27, 2017","1,160.56","1,165.15","1,170.46","1,157.89","-","-0.47%"
